Month,Average Transport Amount (people),temperature
1,1936615,18.3
2,2046706,17
3,2122548,18.2
4,2034486,22.5
5,2010690,25.6
6,2020000,28
7,1962774,30.3
8,2043185,31.1
9,2008376,29.6
10,1993600,25.6
11,2101132,22.5
12,2247974,17.8
