Date,Week,Total Transport Amount (people)
106/7/19,3,"2,086,101"
106/7/20,4,"2,108,438"
106/7/21,5,"2,227,440"
106/7/22,6,"1,863,279"
106/7/23,7,"1,609,468"
106/7/24,1,"2,018,266"
106/7/25,2,"2,071,378"
106/7/26,3,"2,087,148"
106/7/27,4,"2,101,679"
106/7/28,5,"2,207,754"
106/7/29,6,"1,318,726"
106/7/30,7,"1,057,068"
106/7/31,1,"1,987,474"
106/8/1,2,"2,056,366"
106/8/2,3,"2,044,076"
106/8/3,4,"2,108,052"
106/8/4,5,"2,222,245"
106/8/5,6,"1,916,078"
106/8/6,7,"1,628,695"
106/8/7,1,"2,044,614"
106/8/8,2,"2,043,332"
106/8/9,3,"2,120,292"
106/8/10,4,"2,159,835"
106/8/11,5,"2,289,133"
106/8/12,6,"2,010,445"
106/8/13,7,"1,692,212"
106/8/14,1,"2,052,866"
106/8/15,2,"2,118,871"
106/8/16,3,"2,102,736"
106/8/17,4,"2,117,383"
106/8/18,5,"2,246,447"
106/8/19,6,"1,951,490"
106/8/20,7,"1,697,393"
106/8/21,1,"2,049,124"
106/8/22,2,"2,073,977"
106/8/23,3,"2,133,513"
106/8/24,4,"2,142,075"
106/8/25,5,"2,274,103"
106/8/26,6,"2,062,138"
106/8/27,7,"1,679,329"
106/8/28,1,"2,116,191"
106/8/29,2,"2,058,000"
106/8/30,3,"2,066,843"
106/8/31,4,"2,060,866"
106/9/1,5,"2,177,430"
106/9/2,6,"1,751,825"
106/9/3,7,"1,452,237"
106/9/4,1,"2,001,400"
106/9/5,2,"1,975,158"
106/9/6,3,"2,082,879"
106/9/7,4,"2,091,018"
106/9/8,5,"2,224,758"
106/9/9,6,"1,892,813"
106/9/10,7,"1,609,654"
106/9/11,1,"2,039,617"
106/9/12,2,"2,081,061"
106/9/13,3,"1,962,736"
106/9/14,4,"2,000,767"
106/9/15,5,"2,265,537"
106/9/16,6,"1,958,080"
106/9/17,7,"1,648,912"
106/9/18,1,"2,035,911"
106/9/19,2,"2,079,426"
106/9/20,3,"2,118,687"
106/9/21,4,"2,118,031"
106/9/22,5,"2,310,041"
106/9/23,6,"1,966,757"
106/9/24,7,"1,631,419"
106/9/25,1,"2,041,082"
106/9/26,2,"2,070,263"
106/9/27,3,"2,113,775"
106/9/28,4,"2,127,970"
106/9/29,5,"2,263,204"
106/9/30,6,"2,158,819"
106/10/1,7,"1,660,582"
106/10/2,1,"2,076,454"
106/10/3,2,"2,216,893"
106/10/4,3,"1,402,500"
106/10/5,4,"2,129,030"
106/10/6,5,"2,308,076"
106/10/7,6,"1,829,678"
106/10/8,7,"1,693,153"
106/10/9,1,"1,690,483"
106/10/10,2,"1,523,930"
106/10/11,3,"2,051,915"
106/10/12,4,"2,074,510"
106/10/13,5,"2,245,208"
106/10/14,6,"1,704,860"
106/10/15,7,"1,510,202"
106/10/16,1,"2,076,568"
106/10/17,2,"2,117,767"
106/10/18,3,"2,146,184"
106/10/19,4,"2,173,660"
106/10/20,5,"2,358,215"
106/10/21,6,"2,069,982"
106/10/22,7,"1,787,401"
106/10/23,1,"2,076,072"
106/10/24,2,"2,112,018"
106/10/25,3,"2,147,053"
106/10/26,4,"2,163,710"
106/10/27,5,"2,378,397"
106/10/28,6,"2,103,855"
106/10/29,7,"1,771,333"
106/10/30,1,"2,098,516"
106/10/31,2,"2,103,407"
106/11/1,3,"2,106,642"
106/11/2,4,"2,108,336"
106/11/3,5,"2,330,453"
106/11/4,6,"1,980,204"
106/11/5,7,"1,706,837"
106/11/6,1,"2,073,916"
106/11/7,2,"2,103,804"
106/11/8,3,"2,139,482"
106/11/9,4,"2,175,244"
106/11/10,5,"2,378,619"
106/11/11,6,"2,078,842"
106/11/12,7,"1,768,317"
106/11/13,1,"2,106,753"
106/11/14,2,"2,128,134"
106/11/15,3,"2,157,499"
106/11/16,4,"2,186,137"
106/11/17,5,"2,412,377"
106/11/18,6,"2,061,167"
106/11/19,7,"1,760,429"
106/11/20,1,"2,154,683"
106/11/21,2,"2,130,567"
106/11/22,3,"2,151,193"
106/11/23,4,"2,186,415"
106/11/24,5,"2,397,856"
106/11/25,6,"1,962,615"
106/11/26,7,"1,704,054"
106/11/27,1,"2,087,442"
106/11/28,2,"2,148,358"
106/11/29,3,"2,172,127"
106/11/30,4,"2,175,459"
106/12/1,5,"2,374,968"
106/12/2,6,"2,107,106"
106/12/3,7,"1,832,258"
106/12/4,1,"2,096,950"
106/12/5,2,"2,151,926"
106/12/6,3,"2,197,775"
106/12/7,4,"2,244,676"
106/12/8,5,"2,482,363"
106/12/9,6,"2,252,383"
106/12/10,7,"1,992,771"
106/12/11,1,"2,155,347"
106/12/12,2,"2,207,757"
106/12/13,3,"2,235,608"
106/12/14,4,"2,264,764"
106/12/15,5,"2,507,419"
106/12/16,6,"2,284,334"
106/12/17,7,"1,981,671"
106/12/18,1,"2,207,734"
106/12/19,2,"2,233,964"
106/12/20,3,"2,285,261"
106/12/21,4,"2,282,130"
106/12/22,5,"2,498,190"
106/12/23,6,"2,447,816"
106/12/24,7,"2,036,103"
106/12/25,1,"2,291,232"
106/12/26,2,"2,240,509"
106/12/27,3,"2,270,721"
106/12/28,4,"2,292,694"
106/12/29,5,"2,497,606"
106/12/30,6,"2,138,946"
106/12/31,7,"2,594,212"
