營運日,星期,總 運 量 (單位：人次)
106/6/17, 六 ,"1,745,484"
106/6/18, 日 ,"1,504,619"
106/6/19, 一 ,"2,045,553"
106/6/20, 二 ,"2,067,290"
106/6/21, 三 ,"2,115,676"
106/6/22, 四 ,"2,142,092"
106/6/23, 五 ,"2,301,901"
106/6/24, 六 ,"1,943,189"
106/6/25, 日 ,"1,665,792"
106/6/26, 一 ,"2,014,810"
106/6/27, 二 ,"2,053,167"
106/6/28, 三 ,"2,072,841"
106/6/29, 四 ,"2,089,302"
106/6/30, 五 ,"2,316,429"
106/7/1, 六 ,"1,823,735"
106/7/2, 日 ,"1,645,742"
106/7/3, 一 ,"2,027,481"
106/7/4, 二 ,"2,058,874"
106/7/5, 三 ,"2,109,689"
106/7/6, 四 ,"2,122,725"
106/7/7, 五 ,"2,255,318"
106/7/8, 六 ,"1,916,294"
106/7/9, 日 ,"1,665,436"
106/7/10, 一 ,"2,075,230"
106/7/11, 二 ,"2,108,257"
106/7/12, 三 ,"2,141,607"
106/7/13, 四 ,"2,166,236"
106/7/14, 五 ,"2,256,065"
106/7/15, 六 ,"1,927,884"
106/7/16, 日 ,"1,660,860"
106/7/17, 一 ,"2,048,678"
106/7/18, 二 ,"2,091,666"
106/7/19, 三 ,"2,086,101"
106/7/20, 四 ,"2,108,438"
106/7/21, 五 ,"2,227,440"
106/7/22, 六 ,"1,863,279"
106/7/23, 日 ,"1,609,468"
106/7/24, 一 ,"2,018,266"
106/7/25, 二 ,"2,071,378"
106/7/26, 三 ,"2,087,148"
106/7/27, 四 ,"2,101,679"
106/7/28, 五 ,"2,207,754"
106/7/29, 六 ,"1,318,726"
106/7/30, 日 ,"1,057,068"
106/7/31, 一 ,"1,987,474"
106/8/1, 二 ,"2,056,366"
106/8/2, 三 ,"2,044,076"
106/8/3, 四 ,"2,108,052"
106/8/4, 五 ,"2,222,245"
106/8/5, 六 ,"1,916,078"
106/8/6, 日 ,"1,628,695"
106/8/7, 一 ,"2,044,614"
106/8/8, 二 ,"2,043,332"
106/8/9, 三 ,"2,120,292"
106/8/10, 四 ,"2,159,835"
106/8/11, 五 ,"2,289,133"
106/8/12, 六 ,"2,010,445"
106/8/13, 日 ,"1,692,212"
106/8/14, 一 ,"2,052,866"
106/8/15, 二 ,"2,118,871"
106/8/16, 三 ,"2,102,736"
106/8/17, 四 ,"2,117,383"
106/8/18, 五 ,"2,246,447"
106/8/19, 六 ,"1,951,490"
106/8/20, 日 ,"1,697,393"
106/8/21, 一 ,"2,049,124"
106/8/22, 二 ,"2,073,977"
106/8/23, 三 ,"2,133,513"
106/8/24, 四 ,"2,142,075"
106/8/25, 五 ,"2,274,103"
106/8/26, 六 ,"2,062,138"
106/8/27, 日 ,"1,679,329"
106/8/28, 一 ,"2,116,191"
106/8/29, 二 ,"2,058,000"
106/8/30, 三 ,"2,066,843"
106/8/31, 四 ,"2,060,866"
106/9/1, 五 ,"2,177,430"
106/9/2, 六 ,"1,751,825"
106/9/3, 日 ,"1,452,237"
106/9/4, 一 ,"2,001,400"
106/9/5, 二 ,"1,975,158"
106/9/6, 三 ,"2,082,879"
106/9/7, 四 ,"2,091,018"
106/9/8, 五 ,"2,224,758"
106/9/9, 六 ,"1,892,813"
106/9/10, 日 ,"1,609,654"
106/9/11, 一 ,"2,039,617"
106/9/12, 二 ,"2,081,061"
106/9/13, 三 ,"1,962,736"
106/9/14, 四 ,"2,000,767"
106/9/15, 五 ,"2,265,537"
106/9/16, 六 ,"1,958,080"
106/9/17, 日 ,"1,648,912"
106/9/18, 一 ,"2,035,911"
106/9/19, 二 ,"2,079,426"
106/9/20, 三 ,"2,118,687"
106/9/21, 四 ,"2,118,031"
106/9/22, 五 ,"2,310,041"
106/9/23, 六 ,"1,966,757"
106/9/24, 日 ,"1,631,419"
106/9/25, 一 ,"2,041,082"
106/9/26, 二 ,"2,070,263"
106/9/27, 三 ,"2,113,775"
106/9/28, 四 ,"2,127,970"
106/9/29, 五 ,"2,263,204"
106/9/30, 六 ,"2,158,819"
106/10/1, 日 ,"1,660,582"
106/10/2, 一 ,"2,076,454"
106/10/3, 二 ,"2,216,893"
106/10/4, 三 ,"1,402,500"
106/10/5, 四 ,"2,129,030"
106/10/6, 五 ,"2,308,076"
106/10/7, 六 ,"1,829,678"
106/10/8, 日 ,"1,693,153"
106/10/9, 一 ,"1,690,483"
106/10/10, 二 ,"1,523,930"
106/10/11, 三 ,"2,051,915"
106/10/12, 四 ,"2,074,510"
106/10/13, 五 ,"2,245,208"
106/10/14, 六 ,"1,704,860"
106/10/15, 日 ,"1,510,202"
106/10/16, 一 ,"2,076,568"
106/10/17, 二 ,"2,117,767"
106/10/18, 三 ,"2,146,184"
106/10/19, 四 ,"2,173,660"
106/10/20, 五 ,"2,358,215"
106/10/21, 六 ,"2,069,982"
106/10/22, 日 ,"1,787,401"
106/10/23, 一 ,"2,076,072"
106/10/24, 二 ,"2,112,018"
106/10/25, 三 ,"2,147,053"
106/10/26, 四 ,"2,163,710"
106/10/27, 五 ,"2,378,397"
106/10/28, 六 ,"2,103,855"
106/10/29, 日 ,"1,771,333"
106/10/30, 一 ,"2,098,516"
106/10/31, 二 ,"2,103,407"
106/11/1, 三 ,"2,106,642"
106/11/2, 四 ,"2,108,336"
106/11/3, 五 ,"2,330,453"
106/11/4, 六 ,"1,980,204"
106/11/5, 日 ,"1,706,837"
106/11/6, 一 ,"2,073,916"
106/11/7, 二 ,"2,103,804"
106/11/8, 三 ,"2,139,482"
106/11/9, 四 ,"2,175,244"
106/11/10, 五 ,"2,378,619"
106/11/11, 六 ,"2,078,842"
106/11/12, 日 ,"1,768,317"
106/11/13, 一 ,"2,106,753"
106/11/14, 二 ,"2,128,134"
106/11/15, 三 ,"2,157,499"
106/11/16, 四 ,"2,186,137"
106/11/17, 五 ,"2,412,377"
106/11/18, 六 ,"2,061,167"
106/11/19, 日 ,"1,760,429"
106/11/20, 一 ,"2,154,683"
106/11/21, 二 ,"2,130,567"
106/11/22, 三 ,"2,151,193"
106/11/23, 四 ,"2,186,415"
106/11/24, 五 ,"2,397,856"
106/11/25, 六 ,"1,962,615"
106/11/26, 日 ,"1,704,054"
106/11/27, 一 ,"2,087,442"
106/11/28, 二 ,"2,148,358"
106/11/29, 三 ,"2,172,127"
106/11/30, 四 ,"2,175,459"
106/12/1, 五 ,"2,374,968"
106/12/2, 六 ,"2,107,106"
106/12/3, 日 ,"1,832,258"
106/12/4, 一 ,"2,096,950"
106/12/5, 二 ,"2,151,926"
106/12/6, 三 ,"2,197,775"
106/12/7, 四 ,"2,244,676"
106/12/8, 五 ,"2,482,363"
106/12/9, 六 ,"2,252,383"
106/12/10, 日 ,"1,992,771"
106/12/11, 一 ,"2,155,347"
106/12/12, 二 ,"2,207,757"
106/12/13, 三 ,"2,235,608"
106/12/14, 四 ,"2,264,764"
106/12/15, 五 ,"2,507,419"
106/12/16, 六 ,"2,284,334"
106/12/17, 日 ,"1,981,671"
106/12/18, 一 ,"2,207,734"
106/12/19, 二 ,"2,233,964"
106/12/20, 三 ,"2,285,261"
106/12/21, 四 ,"2,282,130"
106/12/22, 五 ,"2,498,190"
106/12/23, 六 ,"2,447,816"
106/12/24, 日 ,"2,036,103"
106/12/25, 一 ,"2,291,232"
106/12/26, 二 ,"2,240,509"
106/12/27, 三 ,"2,270,721"
106/12/28, 四 ,"2,292,694"
106/12/29, 五 ,"2,497,606"
106/12/30, 六 ,"2,138,946"
106/12/31, 日 ,"2,594,212"
